sensor1	sensor2	signal_strength	group
21	27	14.865292728154833	A
44	9	24.535464538988567	A
261	288	15.217063877077292	A
185.66198851913214	17.210153955966234	1.5496058333638671	B
220.44182360676373	221.8665879004595	-0.22831265634308848	C
372.8656942024827	212.84813098609447	-0.12001534243241438	B
157.8223713027637	199.0638431935711	2.637178632214263	C
260	34	25.52132447221482	A
163.06526019056835	185.41033410711492	-0.27763739731082215	C
17.962330020964146	78.46297780051827	-0.48551074359696716	B
336	22	24.543906358217043	A
234.76213007333894	223.95285392092515	0.057747830389618636	C
302	326	24.701941393683214	A
85	105	26.551126728750578	A
110	150	24.313849945777086	A
194	82	16.693493172329205	A
189	191	13.730325627271059	A
182.6069813221693	14.365505240857601	0.030286612238279567	B
181	66	14.648670430888105	A
279	294	24.645850485766147	A
114	375	25.249667830301288	A
291	56	14.593461152605832	A
116.72194126689914	145.00890191783992	0.8522487922832956	C
296.3627160526812	96.62499632686377	-1.7268385098751848	B
314	363	23.437379040392038	A
245.20945462958747	259.73433147769316	1.491523367543837	C
87	238	16.11801655900957	A
234.46145394916664	166.96446853095273	0.9386478678196335	C
80	361	24.409964545908675	A
200	265	16.288399820225386	A
103	78	23.795262304991375	A
216.47135156959848	249.1674469782723	0.24875050735026072	C
16	29	27.56426354399082	A
254	264	25.95116968697339	A
242	252	26.13351468171534	A
87	300	14.221881685713576	A
182.79744454338106	212.7484497851309	-0.5973678749676695	C
98	176	15.658906379576388	A
326	67	14.766886673688285	A
39	303	15.487255917067188	A
216.60430915653706	244.71090752631426	-0.5111313002100559	B
326	135	13.394129858626844	A
73	17	15.244083103430208	A
327.9703569598496	104.80638686567545	-0.038737555912373656	B
97.93226681649685	152.8966812416911	-0.1474875988305707	B
97.35587416216731	382.7718300744891	-2.2540299217828523	B
121	251	26.84924613176281	A
229.57825726612387	223.52079589524539	0.08692019464762188	C
353	94	14.376482241828372	A
121	156	25.531201516120042	A
92.8493270538952	239.69282534710968	-0.07585432812435157	C
223.8120657436551	182.20343691210323	-0.16285182681642926	C
224	329	25.22050209718555	A
207.83939333632588	218.02263027057052	-0.7114182774163336	B
253	143	13.901278188753494	A
193.23566459136876	210.05190418511162	-0.43750788671863505	C
42.26523460820317	313.1052067503333	2.481136677528321	B
173.18927375599742	111.88768111169338	-0.8616243108408213	B
209.38714826479554	15.612584538757801	1.0446149648906249	B
84	313	14.618102180098193	A
352	0	25.320378469734408	A
141.30824746427754	224.41534822908463	0.6427600790641137	C
220	355	15.757246181561875	A
87	51	25.25134937759026	A
128	398	24.975232868855414	A
7	14	23.48038034435706	A
78.07892653674355	222.6600758033213	1.456055816339246	C
111.82908741757274	259.2407857067883	1.555323412777491	B
185	87	24.839069425883253	A
73	97	25.675184793524085	A
84	9	26.30426694860611	A
261	43	25.394232524306766	A
7	44	24.988576508021286	A
281.09907023608685	340.026986412704	-0.21589729288820977	B
246	268	23.13374219314962	A
297	364	26.05901119438955	A
222.76502280719185	250.3369186719355	0.7620343017160838	C
254.92151312836057	200.12036576255062	-0.2662300902574745	C
343	83	15.405253750917984	A
219	376	15.095534529261558	A
211	69	26.277774617600866	A
87	81	15.886466913391905	A
221	272	25.06370040952898	A
290	95	13.499498672470484	A
48	322	16.241625634970283	A
250.55848620831966	397.36295603215694	4.00140745531757e-4	B
155.48653039461973	277.200595440406	-0.13059602446493176	C
223	131	24.373727745987974	A
172.34076487523714	139.60418782275667	0.3857909085123106	C
213	350	15.466640022333301	A
218	261	14.996117077876375	A
167.19301487195466	174.77100828059025	1.4457026893293385	C
219	397	26.40803408234138	A
24	266	11.32721229903757	A
278	78	25.46111782252265	A
161.28664508216482	182.89379761082878	2.293636494786099	C
228	178	24.12098604036631	A
264	253	25.307917407806425	A
292	46	16.045112964867627	A
182.44974967092276	187.3677609488368	-2.445499011235126	B
24	236	14.134902653165058	A
150.53477999162516	255.8785264256685	0.7267262573125718	C
127.76375282555819	264.5711513236165	-0.245162899873654	B
231.2021072022617	146.90673258155584	0.45458317732674175	B
117	272	24.030323474739596	A
98	88	26.333645672878223	A
145.97025346010923	188.52305188775063	-0.6382899668967618	B
270	288	17.12857531034466	A
222	226	25.63435495208308	A
4.093983303755522	60.782918985933065	-0.9936341769996341	B
97.33076728880405	389.7317090071738	0.3960946605723268	B
351	8	25.804168515826497	A
302	3	23.91348008879042	A
117.38133570179343	370.0465830042958	-0.04966502042121949	B
52	63	25.774912240491147	A
312.19004359137244	262.325862920498	0.6948341638828374	C
399.3001716211438	196.12772790715098	1.960122294988091	B
86	255	13.729732238104356	A
145.1090356335044	80.15584340319037	-0.49479157262407636	B
228	102	15.460201468795029	A
251.64285558158412	230.79866241479112	-1.5483043925822373	C
112	350	15.234056738953715	A
215	130	24.55403091535046	A
82	53	15.230155373405518	A
268.75434935783807	158.42627775189322	-0.09244764632046053	C
266	7	24.67586948448353	A
126	134	24.626260958197808	A
301	98	13.7831197141068	A
333	10	25.462210149339125	A
63.8481879606843	95.7497556693852	1.3148011499912131	B
57	51	25.74718903686735	A
